Цена,Наличие,Название
162017,ЗАКАЗ,"Ноутбук Acer Nitro AN517-41-R9LM < NH.QBHEX.002 > (Ryzen 7 5800H, 16 ГБ, 1 ТБ SSD, GeForce®  RTX 3080 (256 бит), WiFi, BT, noOS, 17"")"
156972,ЗАКАЗ,"Ноутбук Acer Nitro AN517-41-R11Z < NH.QBHEX.006 > (Ryzen 7 5800H, 16 ГБ, 512 ГБ SSD, GeForce®  RTX 3080 (256 бит), WiFi, BT, noOS, 17"")"
115924,ЗАКАЗ,"Ноутбук Acer Nitro AN517-41-R10V < NH.QAREX.00B > (Ryzen 5 5600H, 16 ГБ, 1 ТБ SSD, GeForce®  RTX 3060 (192 бита), WiFi, BT, noOS, 17"")"
194847,10.05,"Ноутбук Lenovo Legion 5 17ACH6 < 82K00006RK > (AMD Ryzen 7 5800H, 16 ГБ, 512 ГБ SSD, GeForce®  RTX 3050 (128 бит), WiFi, BT, noOS, 17"")"
122224,10.05,"Ноутбук Lenovo 17ACH6 < 82K00005RK > (AMD Ryzen 5 5600H, 8 ГБ, 512 ГБ SSD, GeForce®  RTX 3050 (128 бит), WiFi, BT, noOS, 17"")"
112417,10.05,"Ноутбук HP Laptop 17-cp0136ur < 601K0EA#ACB > (AMD Ryzen 5 5500U, 16 ГБ, 512 ГБ SSD, WiFi, BT, noOS, 17"")"
81089,ЗАКАЗ,"Ноутбук HP 17-cp0004ny < 60V14EA#B1R > (AMD Ryzen 7 5700U, 8 ГБ, 512 ГБ SSD, WiFi, BT, Win11, 17"")"
67255,ЗАКАЗ,"Ноутбук Lenovo 17ABA7 < 82RQ000CRK > (AMD Ryzen 5 5625U, 16 ГБ, 512 ГБ SSD, noOS, 17"")"
64167,05.05,"Ноутбук HP 62G49EA < 62G49EA#AKD > (AMD Ryzen 3 5300U, 8 ГБ, 256 ГБ SSD, WiFi, BT, Win11, 17"")"
249185,ЗАКАЗ,"Ноутбук 90NR08G2-M008U0 ASUS ROG STRIX SCAR 17 G733ZW-LL153W 17.3"" WQHD IPS 240Hz / i9-12900H / 16GB / 1TB SSD / 3070 Ti 8GB / W11 / Bl"
281854,ЗАКАЗ,"Ноутбук DREAM MACHINES RS3080-17EU50 < RS3080-17EU50 > (Intel Core i7 12700H, 16 ГБ, 1 ТБ SSD, GeForce®  RTX 3080 Ti (256 бит), WiFi, BT, noOS, 17"")"
206098,ЗАКАЗ,"Ноутбук DREAM MACHINES RS3070-17EU50 < RS3070-17EU50 > (Intel Core i7 12700H, 16 ГБ, 1 ТБ SSD, GeForce®  RTX 3070 Ti (256 бит), WiFi, BT, noOS, 17"")"
169179,ЗАКАЗ,"Ноутбук DREAM MACHINES RS3060-17EU50 < RS3060-17EU50 > (Intel Core i7 12700H, 16 ГБ, 1 ТБ SSD, GeForce®  RTX 3060 (192 бита), WiFi, BT, noOS, 17"")"
155011,ЗАКАЗ,"Ноутбук DREAM MACHINES RG3060-17EU37 < RG3060-17EU37 > (Intel Core i7 12700H, 16 ГБ, 1 ТБ SSD, GeForce®  RTX 3060 (192 бита), WiFi, BT, noOS, 17"")"
149178,ЗАКАЗ,"Ноутбук DREAM MACHINES RG3060-17EU39 < RG3060-17EU39 > (Intel Core i7 12700H, 32 ГБ, 1 ТБ SSD, GeForce®  RTX 3060 (192 бита), WiFi, BT, noOS, 17"")"
143427,ЗАКАЗ,"Ноутбук Dream Machines RG3060-17EU38 RG3060-17EU38 17.3"" i7 12700H / 16384Mb / 1024SSDGb / RTX3060 (6144Mb) / black / noOS"
136222,ЗАКАЗ,Ноутбук ASUS TUF Gaming FX707ZM < 90NR09G1-M007K0 >
125990,ЗАКАЗ,"Ноутбук MSI Pulse GL76 12UEK-072RU < 9S7-17L314-072 > (Intel Core i7 12700H, 16 ГБ, 1 ТБ SSD, GeForce®  RTX 3060 (192 бита), WiFi, BT, Win11, 17"")"
127926,ЗАКАЗ,"Ноутбук DREAM MACHINES RG3050 Ti-17EU36 < RG3050Ti-17EU36 > (Intel Core i7 12700H, 16 ГБ, 1 ТБ SSD, GeForce®  RTX 3050 Ti (128 бит), WiFi, BT, noOS, 17"")"
120590,10.05,"Ноутбук MSI Pulse GL76 12UDK-280RU < 9S7-17L414-280 > (Intel Core i7 12700H, 16 ГБ, 512 ГБ SSD, GeForce®  RTX 3050 Ti (128 бит), WiFi, BT, Win11, 17"")"
103606,ЗАКАЗ,"Ноутбук MSI Pulse GL76 12UDK-281XRU < 9S7-17L414-281 > (Intel Core i7 12700H, 16 ГБ, 512 ГБ SSD, GeForce®  RTX 3050 Ti (128 бит), WiFi, BT, noOS, 17"")"
101261,ЗАКАЗ,"Ноутбук ASUS 90NR0713-M00740 (Intel Core i7 11800H, 8 ГБ, 1 ТБ SSD, GeForce®  RTX 3050 Ti (128 бит), WiFi, BT, noOS, 17"")"
122092,ЗАКАЗ,"Ноутбук DREAM MACHINES RG3050-17EU36 < RG3050-17EU36 > (Intel Core i7 12700H, 16 ГБ, 1 ТБ SSD, GeForce®  RTX 3050 (128 бит), WiFi, BT, noOS, 17"")"
103827,10.05,"Ноутбук DREAM MACHINES G1650-17KZ86 < G1650-17KZ86 > (Intel Core i7 12700H, 16 ГБ, 1 ТБ SSD, GeForce®  GTX 1650 (128 бит), BT, noOS, 17"")"
102501,10.05,"Ноутбук DREAM MACHINES G1650-17KZ85 < G1650-17KZ85 > (Intel Core i7 12700H, 16 ГБ, 500 ГБ SSD, GeForce®  GTX 1650 (128 бит), BT, noOS, 17"")"
